id,stop_id,text,category,severity,timestamp,submitted_by,resolved
GRIEVANCE_00001,STOP_0041,"Only one bench, not enough seating for elderly users",,5,2025-12-27T20:27:47.839182,USER_2679,False
GRIEVANCE_00002,STOP_0035,"Tactile pavement is missing, blind users can't navigate",,3,2026-02-03T14:14:47.839182,USER_4811,False
GRIEVANCE_00003,STOP_0002,"Broken wheelchair ramp, can't be used",,3,2026-04-03T11:47:47.839182,USER_8359,False
GRIEVANCE_00005,STOP_0011,"Staff not available, I needed help with my walker",,4,2026-01-13T21:22:47.839182,USER_2674,True
GRIEVANCE_00006,STOP_0007,Audio signals are not working at the crossing,,5,2026-01-15T08:29:47.839182,USER_8527,False
GRIEVANCE_00007,STOP_0025,"Lighting is broken, can't see properly",,5,2026-01-02T09:52:47.839182,USER_4150,False
GRIEVANCE_00008,STOP_0003,"Restroom is not accessible, door too narrow",,2,2025-12-31T16:07:47.839182,USER_7227,False
GRIEVANCE_00010,STOP_0011,"Tactile pavement is missing, blind users can't navigate",,5,2025-12-11T10:30:47.839182,USER_3803,False
GRIEVANCE_00011,STOP_0016,Information board text is too small,,3,2026-01-23T22:12:47.839182,USER_6313,False
GRIEVANCE_00012,STOP_0050,"Platform is at an angle, difficult for mobility users",,2,2025-10-26T23:38:47.839182,USER_4456,False
GRIEVANCE_00014,STOP_0021,"Audio alert is too quiet, can't hear it",,3,2026-02-23T02:09:47.839182,USER_5339,True
GRIEVANCE_00015,STOP_0048,"Broken wheelchair ramp, can't be used",,5,2025-12-25T12:50:47.839182,USER_7543,False
GRIEVANCE_00016,STOP_0009,"Very dark at night, feels unsafe",,3,2025-11-10T15:08:47.839182,USER_3621,False
GRIEVANCE_00017,STOP_0028,"Audio alert is too quiet, can't hear it",,5,2026-01-25T01:51:47.839182,USER_5119,False
GRIEVANCE_00018,STOP_0001,Information board text is too small,,4,2025-11-17T11:09:47.839182,USER_6573,True
GRIEVANCE_00019,STOP_0028,"Platform is at an angle, difficult for mobility users",,5,2025-10-19T13:09:47.839182,USER_3927,False
GRIEVANCE_00021,STOP_0020,"Only one bench, not enough seating for elderly users",,4,2026-02-25T08:25:47.839182,USER_3646,False
GRIEVANCE_00022,STOP_0050,"Steps at entrance, no alternative for disabled",,2,2025-10-19T08:33:47.839182,USER_2832,False
GRIEVANCE_00023,STOP_0020,"Tactile pavement is missing, blind users can't navigate",,5,2025-12-19T07:18:47.839182,USER_8962,False
GRIEVANCE_00024,STOP_0049,"Steps at entrance, no alternative for disabled",,5,2025-11-19T17:55:47.839182,USER_3705,False
GRIEVANCE_00025,STOP_0039,"Staff not available, I needed help with my walker",,5,2025-12-12T07:01:47.839182,USER_6107,False
GRIEVANCE_00026,STOP_0043,"Very dark at night, feels unsafe",,3,2026-02-08T05:41:47.839182,USER_4681,True
GRIEVANCE_00027,STOP_0002,"No ramp at entrance, very difficult for wheelchair users",,2,2025-12-16T07:27:47.839182,USER_1964,False
GRIEVANCE_00028,STOP_0003,"Platform is at an angle, difficult for mobility users",,5,2025-11-06T05:28:47.839182,USER_8953,False
GRIEVANCE_00029,STOP_0009,"Restroom is not accessible, door too narrow",,5,2026-03-14T07:43:47.839182,USER_7669,True
GRIEVANCE_00030,STOP_0007,"Audio alert is too quiet, can't hear it",,5,2026-01-17T02:39:47.839182,USER_1887,False
GRIEVANCE_00031,STOP_0042,"Very dark at night, feels unsafe",,3,2026-01-30T12:34:47.839182,USER_4139,True
GRIEVANCE_00032,STOP_0029,"Restroom is not accessible, door too narrow",,2,2025-12-03T21:42:47.839182,USER_8260,False
GRIEVANCE_00033,STOP_0036,"No ramp at entrance, very difficult for wheelchair users",,2,2026-04-03T07:06:47.839182,USER_4872,True
GRIEVANCE_00034,STOP_0032,No seating in waiting area,,2,2026-01-28T14:23:47.839182,USER_7396,False
GRIEVANCE_00035,STOP_0030,Information board text is too small,,5,2026-04-15T13:03:47.839182,USER_8973,True
GRIEVANCE_00036,STOP_0019,Information board text is too small,,2,2025-11-02T08:00:47.839182,USER_6138,True
GRIEVANCE_00037,STOP_0038,"Crowded seating area, people with crutches can't sit",,2,2026-03-02T18:16:47.839182,USER_4044,True
GRIEVANCE_00038,STOP_0005,No staff during night shifts when I arrive,,3,2025-12-18T01:20:47.839182,USER_1651,False
GRIEVANCE_00039,STOP_0027,"Platform is at an angle, difficult for mobility users",,3,2026-03-12T05:33:47.839182,USER_6147,False
GRIEVANCE_00040,STOP_0026,"Muddy area, tactile guide is covered",,2,2026-04-01T22:42:47.839182,USER_1152,False
GRIEVANCE_00042,STOP_0005,"Lighting is broken, can't see properly",,2,2026-02-24T21:21:47.839182,USER_5002,False
GRIEVANCE_00043,STOP_0011,"Accessible restroom locked, I couldn't use it",,5,2026-03-07T11:32:47.839182,USER_9666,True
GRIEVANCE_00044,STOP_0036,"Only one bench, not enough seating for elderly users",,4,2026-04-05T17:09:47.839182,USER_2891,False
GRIEVANCE_00045,STOP_0048,"Staff not available, I needed help with my walker",,5,2025-12-26T22:51:47.839182,USER_6617,False
GRIEVANCE_00047,STOP_0033,"Broken wheelchair ramp, can't be used",,4,2025-10-31T15:53:47.839182,USER_1722,True
GRIEVANCE_00048,STOP_0050,"Audio alert is too quiet, can't hear it",,5,2025-12-24T19:00:47.839182,USER_8007,False
GRIEVANCE_00049,STOP_0008,Audio signals are not working at the crossing,,4,2026-04-12T17:47:47.839182,USER_3426,False
GRIEVANCE_00050,STOP_0003,"Restroom is not accessible, door too narrow",,5,2025-10-29T00:26:47.839182,USER_2684,False
